State,Year,Population,UnemploymentRate,GDP,BachelorDegreeRate,MedianHouseholdIncome
California,2018,39557045,4.2,3000000,32.6,71228
California,2019,39512223,4.1,3150000,33.1,75235
California,2020,39437610,9.3,3200000,33.5,78105
California,2021,39237836,7.7,3400000,34.0,81720

Texas,2018,28701845,3.9,1800000,29.3,59570
Texas,2019,28995881,3.7,1900000,29.9,61874
Texas,2020,29145505,7.5,2000000,30.2,64034
Texas,2021,29527941,6.5,2150000,30.8,67031

New York,2018,19542209,4.1,1700000,36.0,67844
New York,2019,19453561,4.0,1750000,36.6,71855
New York,2020,20201249,10.0,1800000,37.0,72500
New York,2021,19835913,8.2,1900000,37.4,74314

Florida,2018,21299325,3.8,1000000,29.1,55330
Florida,2019,21477737,3.4,1050000,29.6,55660
Florida,2020,21538187,7.6,1100000,30.0,59227
Florida,2021,21781128,5.1,1200000,30.5,63062

Illinois,2018,12741080,4.3,900000,32.9,65030
Illinois,2019,12671821,4.0,920000,33.4,69212
Illinois,2020,12587530,9.2,940000,33.9,71186
Illinois,2021,12671469,7.1,980000,34.5,74399
